"Qty";"Value";"Device";"Package";"Parts";"Description";"CURRENT";"MANUFACTURER";"MOUNT";"PACKAGE";"POWER";"REPLACEABLE";"TOLERANCE";"TYPE";"VAL";"VOLTAGE";"_DIGIKEY_CODE";"_FARNELL_CODE";"_FARNELL_PRICE_1";"_FARNELL_PRICE_1_QTY";"_MOUSER_CODE";
"1";"1776275-2";"1776275-2";"TERMINALBLOCK_3.5MMPITCH_2WAY";"CN4";"CONNECTOR, Terminal Block, 2 pos, Side entry, Screw, 3.5mm pitch";"";"";"";"";"";"";"";"";"+BAT1-";"";"";"";"";"";"";
"1";"1776275-2";"1776275-2";"TERMINALBLOCK_3.5MMPITCH_2WAY";"CN3";"CONNECTOR, Terminal Block, 2 pos, Side entry, Screw, 3.5mm pitch";"";"";"";"";"";"";"";"";"+BAT2-";"";"";"";"";"";"";
"1";"1776275-2";"1776275-2";"TERMINALBLOCK_3.5MMPITCH_2WAY";"CN2";"CONNECTOR, Terminal Block, 2 pos, Side entry, Screw, 3.5mm pitch";"";"";"";"";"";"";"";"";"+BAT3-";"";"";"";"";"";"";
"1";"1776275-2";"1776275-2";"TERMINALBLOCK_3.5MMPITCH_2WAY";"CN1";"CONNECTOR, Terminal Block, 2 pos, Side entry, Screw, 3.5mm pitch";"";"";"";"";"";"";"";"";"+BAT4-";"";"";"";"";"";"";
"1";"1776275-2";"1776275-2";"TERMINALBLOCK_3.5MMPITCH_2WAY";"CN5";"CONNECTOR, Terminal Block, 2 pos, Side entry, Screw, 3.5mm pitch";"";"";"";"";"";"";"";"";"+PRI-";"";"";"";"";"";"";
"1";"1776275-2";"1776275-2";"TERMINALBLOCK_3.5MMPITCH_2WAY";"CN6";"CONNECTOR, Terminal Block, 2 pos, Side entry, Screw, 3.5mm pitch";"";"";"";"";"";"";"";"";"+SEC-";"";"";"";"";"";"";
"1";"3296W-1-204LF";"3296W-1-204LF";"W";"T1";"POTENTIOMETER, Trimmer, Square, Multiturn, 25 +-2 Turn, Cermet, Top Adjustment, 3/8''";"";"";"";"";"";"";"";"";"20k";"";"";"";"";"";"";
"1";"3296W-1-503LF";"3296W-1-503LF";"W";"T2";"POTENTIOMETER, Trimmer, Square, Multiturn, 25 +-2 Turn, Cermet, Top Adjustment, 3/8''";"";"";"";"";"";"";"";"";"20K";"";"";"";"";"";"";
"1";"ARDUINOR3-NOHOLES";"ARDUINOR3-NOHOLES";"ARDUINO-NOHOLESR3";"U1";"This is a new object for the new Arduino R3 - with extra pins that you may want to use (such as IOref, and duplicated A4/A5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"CL10B105KQ8NNNC";"CL10B105KQ8NNNC";"0603";"C1, C2";"CAPACITOR, 1uF, 6.3V, 0603, Ceramic multilayer, X7R, 10%";"";"Samsung";"Yes";"6.3V";"";"Yes";"";"X7R";"1uF";"6.3V";"1276-1024-2-ND";"";"";"";"";
"4";"HFD31/5-L2";"HFD31/5-L2";"HFD31";"RL1, RL2, RL3, RL4";"Subminiature dual coil latching signal relay";"";"Hongfa";"";"";"";"";"";"";"HFD31/5-L2";"";"";"";"";"";"";
"8";"LS4448";"LS4448";"SOD-80C";"D1, D2, D3, D4, D5, D6, D7, D8";"DIODE, Small signal, fast switching, IFSM=2A, IFRM=500mA, IF=300mA, SOD-80C";"500mA";"Vishay";"Yes";"SOD-80C";"";"Yes";"";"DIODE, Small signal, fast switching";"4448";"";"";"1617732";"0,029";"100-499";"";
"9";"MMBT2222A";"MMBT2222A";"SOT23";"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9";"TRANSISTOR, BJT, NPN, General Purpose, Idmax=600, Vcemax=40V";"600mA";"On semiconductor";"Yes";"SOT-23";"";"No";"";"TRANSISTOR, BJT, NPN, General Purpose, Idmax=600, Vcemax=40V";"MMBT2222A";"40V";"MMBT2222ALT1GOSCT-ND";"1459098";"";"";"863-MMBT2222ALT1G";
"2";"RC0805JR-07100KL";"RC0805JR-07100KL";"0805";"R11, R12";"RESISTOR, General purpose resistor, 5%, 200v, 100ppm/ºC";"";"Yageo";"Yes";"0805";"1/8W";"Yes";"5%";"RESISTOR, Thick Film, General Purpose, 100ppm";"100K";"150V";"";"";"";"";"";
"10";"RC0805JR-072K2L";"RC0805JR-072K2L";"0805";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10";"RESISTOR, General purpose resistor, 5%, 200v, 100ppm/ºC";"";"Yageo";"Yes";"0805";"1/8W";"Yes";"5%";"RESISTOR, Thick Film, General Purpose, 100ppm";"2K2";"150V";"";"";"";"";"";
"2";"TSW-103-07-T-S";"TSW-103-07-T-S";"3WAY-2.54MM";"JP1, JP2";"HEADER MALE PIN, 1Row, 3/50 Way, 5.84mm mating lenght, 2.54mm pitch, Straight, Breakway, Tin, Throught hole";"";"Samtec Inc.";"Yes";"3x 2.54mm pitch";"";"Yes";"";"HEADER MALE PIN, 1Row, 3/50 Way, 5.84mm mating lenght, Straight, Breakway, Tin, Throught hole";"Function";"";"SAM1035-03-ND";"";"";"";"";
"1";"TSW-104-07-T-S";"TSW-104-07-T-S";"4WAY-2.54MM";"JP3";"HEADER MALE PIN, 1Row, 4/50 Way, 5.84mm mating lenght, 2.54mm pitch, Straight, Breakway, Tin, Throught hole";"";"Samtec Inc.";"Yes";"4x 2.54mm pitch";"";"Yes";"";"HEADER MALE PIN, 1Row, 4/50 Way, 5.84mm mating lenght, Straight, Breakway, Tin, Throught hole";"ground selection";"";"";"";"";"";"";
